frequency,name,type
1,Desperate,nickname
1,Climax,nickname
1,Turkeyfoot,nickname
1,Verna,nickname
1,Tioga,nickname
1,Tioga George,nickname
1,The Tioga Kid,nickname
1,Trolley Line,nickname
1,Howie,nickname
1,Low,nickname
1,Shorty,nickname
1,Pickles,nickname
1,String,nickname
1,Pudgy,nickname
1,Ol' Stubblebeard,nickname
1,Iron Duke,nickname
1,Cully,nickname
1,Smoked Herring,nickname
1,Hob,nickname
1,Shovel,nickname
1,Dickey,nickname
1,Dickie,nickname
1,Major,nickname
1,Minooka Mike,nickname
1,John,nickname
1,The Alabama Blossom,nickname
1,Dasher,nickname
1,Rubber Arm,nickname
1,Horse Belly,nickname
1,Germany,nickname
1,Grunting Jim,nickname
1,Gentleman George,nickname
1,Gorgeous George,nickname
1,Sizzler,nickname
1,Billy The Kid,nickname
1,Birdie,nickname
1,Shag,nickname
1,Millionaire Indian,nickname
1,Mack,nickname
1,Marsh,nickname
1,T-Bone,nickname
1,Cocoa,nickname
1,Sparky,nickname
1,Stan,nickname
1,Bruno,nickname
1,Smiley,nickname
1,Howdy,nickname
1,Coaster Joe,nickname
1,Moxie,nickname
1,Little Joe,nickname
1,Gary,nickname
1,Inch,nickname
1,Beanie,nickname
1,Harry the Horse,nickname
1,Bootnose,nickname
1,Stu,nickname
1,Cactus,nickname
1,Razor,nickname
1,Duster,nickname
1,The Great,nickname
1,Wickey,nickname
1,Little Mac,nickname
1,Lee,nickname
1,Leaping Mike,nickname
1,Bing,nickname
1,Shoemaker,nickname
1,The Knight of Kennett Square,nickname
1,The Silver Fox,nickname
1,Otto,nickname
1,El Hombre Goma,nickname
1,Simon,nickname
1,Pancho,nickname
1,Suds,nickname
1,Doc Twink,nickname
1,Wamby,nickname
1,Penny,nickname
1,Sweetbreads,nickname
1,Flea,nickname
1,Pooch,nickname
1,Skeeter,nickname
1,Dan,nickname
1,Windy,nickname
1,Country,nickname
1,Pea Soup,nickname
1,Governor,nickname
1,Moonlight Ace,nickname
1,Snake,nickname
1,Bunker,nickname
1,Lucky,nickname
1,Hardrock,nickname
1,Sugar,nickname
1,Highpockets,nickname
1,Wiz,nickname
1,Bub,nickname
1,Handsome Hugh,nickname
1,Big Serb,nickname
1,Peck,nickname
1,Jughandle Johnny,nickname
1,Pal,nickname
1,Parky,nickname
1,Slicker,nickname
1,Old Folks,nickname
1,Easy,nickname
1,Gibby,nickname
1,The Bambino,nickname
1,The Sultan of Swat,nickname
1,Gentleman Joe,nickname
1,Bally,nickname
1,Bluejacket,nickname
1,Greenfield Jimmy,nickname
1,Bosco,nickname
1,Ad,nickname
1,Merito,nickname
1,Jimmie,nickname
1,Turkey,nickname
1,Pudge,nickname
1,The Boy Wonder,nickname
1,Chicken,nickname
1,Rajah,nickname
1,Will,nickname
1,Bevo,nickname
1,The Count of Luxemburg,nickname
1,Long Bob,nickname
1,Silent Bob,nickname
1,Bananas,nickname
1,Puss Mullen,nickname
1,Sailor,nickname
1,Racehorse,nickname
1,Hypie,nickname
1,Muddy,nickname
1,Eagle Eye,nickname
1,Chad,nickname
1,Socks,nickname
1,Rock,nickname
1,Wardie,nickname
1,Denny,nickname
1,Lank,nickname
1,Big Tom,nickname
1,Butcher Boy,nickname
1,Comet,nickname
1,Old Pard,nickname
1,Zeke,nickname
1,Hi,nickname
1,Huckleberry,nickname
1,Lu,nickname
1,Big Bow,nickname
1,Mandy,nickname
1,Gob,nickname
1,Hugo,nickname
1,Snooks,nickname
1,Jumping Joe,nickname
1,Deeby,nickname
1,Fats,nickname
1,Frankie,nickname
1,The Fordham Flash,nickname
1,Sad Sam,nickname
1,Cracker,nickname
1,Handy Andy,nickname
1,Bubber,nickname
1,Scrap Iron,nickname
1,Good Time Bill,nickname
1,Freddy,nickname
1,Long Tom,nickname
1,Scootch,nickname
1,Jabber,nickname
1,Bad Bill,nickname
1,Chet,nickname
1,Trackhorse,nickname
